brand,model_name,model_id,model_year,bodytype
Land Rover,Range Rover,47_13,2016,SUV
Renault,Trafic,75_17,2015,Combi Van
Vauxhall,Astra,94_5,2003,Hatchback
Volkswagen,Touareg,95_28,2013,SUV
Audi,A1,7_1,2017,Hatchback
Rolls-Royce,Wraith,77_6,2013,Coupe
Volkswagen,Scirocco,95_23,2017,Coupe
Mercedes-Benz,GLA Class,59_23,2015,SUV
Volkswagen,Eos,95_13,2009,Convertible
Ferrari,575M,27_9,2003,Coupe
Audi,RS Q3,7_24,2015,SUV
Volkswagen,Sharan,95_24,2011,MPV
Renault,Megane,75_12,2014,Hatchback
BMW,1 Series,8_1,2015,Hatchback
Citroen,Grand C4 Picasso,18_24,2014,MPV
Fiat,Fullback,28_14,2017,Pickup
Peugeot,306,69_14,2000,Hatchback
Nissan,Elgrand,64_8,2003,MPV
Chevrolet,Matiz,16_12,2006,Hatchback
BMW,7 Series,8_14,2008,Saloon
Mazda,Bongo,57_4,2015,nan
Vauxhall,Tigra,94_21,2000,Convertible
Maserati,Granturismo,55_8,2013,Coupe
Subaru,WRX STI,86_10,2010,Saloon
Mercedes-Benz,SLS,59_34,2012,Convertible
Mazda,MX-5 RF,57_16,2017,Convertible
Volvo,V40,96_7,2013,Hatchback
Mitsubishi,Shogun Sport,62_20,2003,SUV
Suzuki,Baleno,87_2,2016,Hatchback
Audi,A3,7_3,2000,Hatchback
Volvo,V60,96_10,2011,Estate
Citroen,DS3,21_1,2010,Hatchback
Lexus,IS 220d,48_8,2007,Saloon
Fiat,500,28_2,2016,Hatchback
Isuzu,Rodeo,38_3,2007,Pickup
Audi,RS6 Avant,7_32,2017,Estate
Audi,Q5,7_20,2015,SUV
Volvo,XC60,96_16,2012,SUV
Subaru,XV,86_11,2017,SUV
Jaguar,XK,39_9,2014,Coupe
Ford,Tourneo Custom,29_35,2014,Minibus
Lexus,LC 500,48_14,2017,Coupe
McLaren,650S,58_5,2014,Convertible
Daihatsu,Materia,24_6,2009,MPV
BMW,7 Series,8_14,2010,Saloon
Ferrari,F430,27_18,2009,nan
Mitsubishi,Grandis,62_10,2007,MPV
Kia,Optima,43_6,2015,Saloon
Vauxhall,Corsa,94_9,2014,Hatchback
Maserati,GranCabrio,55_6,2013,Convertible
Audi,A4 Allroad,7_6,2009,Estate
Jeep,Wrangler,40_7,2015,SUV
Subaru,Outback,86_7,2006,Estate
Volvo,XC70,96_17,2003,Estate
Suzuki,SX4 S-Cross,87_12,2015,SUV
Citroen,C2,18_7,2003,Hatchback
MINI,Coupe,54_5,2011,Coupe
Mitsubishi,L200,62_13,2011,Pickup
SKODA,Octavia,80_5,2007,Hatchback
Vauxhall,Meriva,94_14,2010,MPV
Vauxhall,Insignia,94_13,2015,Hatchback
Lexus,GS 300,48_2,2009,Saloon
Volkswagen,Touran,95_29,2006,MPV
Audi,A6 Saloon,7_11,2014,Estate
Volkswagen,Polo,95_22,2012,Hatchback
Ford,Focus,29_14,2003,Hatchback
Cadillac,STS,14_5,2009,Saloon
Volvo,V70,96_12,2011,Estate
Audi,S1,7_34,2017,Hatchback
Citroen,DS3,21_1,2012,Hatchback
Mitsubishi,Colt Cabriolet,62_4,2009,Convertible
Ford,Transit Custom,29_38,2017,Combi Van
Mercedes-Benz,CL,59_15,2003,Coupe
Citroen,C8,18_17,2009,MPV
Toyota,AYGO,92_6,2006,Hatchback
Saab,9-5,81_3,2000,Saloon
Citroen,C5,18_15,2008,Saloon
Fiat,500C,28_3,2011,Convertible
Audi,A6 Avant,7_11,2007,Estate
Audi,TT RS,7_47,2016,Coupe
Lamborghini,Aventador,45_1,2013,Convertible
Citroen,Xsara Picasso,18_30,2009,MPV
Alfa Romeo,Giulietta,4_11,2016,Hatchback
BMW,2 Series Gran Tourer,8_4,2018,MPV
Volkswagen,CC,95_12,2015,Saloon
Fiat,Brava,28_9,2000,Hatchback
Audi,S5,7_39,2013,Coupe
Nissan,Largo,64_15,2007,nan
Toyota,Estima,92_14,2014,MPV
Lexus,RC 300h,48_21,2017,Coupe
Nissan,Navara,64_20,2010,Pickup
Vauxhall,Meriva,94_14,2009,MPV
Subaru,Forester,86_2,2013,SUV
Ford,Edge,29_5,2017,SUV
Dacia,Duster,22_1,2014,SUV
Peugeot,Partner Tepee,69_35,2017,MPV
Suzuki,Splash,87_9,2010,Hatchback
Ford,Grand C-Max,29_20,2011,MPV
Mazda,CX-7,57_8,2007,SUV
Suzuki,Grand Vitara,87_4,2003,SUV
Audi,RS3,7_25,2012,Saloon
Mitsubishi,Shogun,62_18,2014,SUV
BMW,6 Series Gran Coupe,8_12,2015,Coupe
Renault,Twingo,75_18,2011,Hatchback
Mercedes-Benz,E Class,59_20,2014,Saloon
